,product,bigscape_class,genome_id,accn_id,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,bigslice_query,gtdb_release,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,on_contig_edge,length_nt
NZ_CP018074.1.region021,NAPAA,NRPS,GCF_001886595.1,NZ_CP018074.1,2415.0,2415.0,2415.0,2175.0,27.0,unknown_family,u_NRPS_27,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,33903.0
NZ_CP018074.1.region022,NRPS-like.ladderane.thioamide-NRP.NRPS.RRE-containing,Others,GCF_001886595.1,NZ_CP018074.1,2416.0,2416.0,2416.0,2416.0,21.0,unknown_family,u_Others_21,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,122129.0
NZ_CP018074.1.region023,terpene,Terpene,GCF_001886595.1,NZ_CP018074.1,2263.0,2294.0,2294.0,,5.0,unknown_family,u_Terpene_5,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,25120.0
NZ_CP018074.1.region024,lanthipeptide-class-iii,RiPPs,GCF_001886595.1,NZ_CP018074.1,2418.0,2418.0,2418.0,2418.0,19.0,unknown_family,u_RiPPs_19,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,22628.0
NZ_CP018074.1.region025,RiPP-like,RiPPs,GCF_001886595.1,NZ_CP018074.1,2131.0,2131.0,2131.0,552.0,28.0,unknown_family,u_RiPPs_28,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10855.0
NZ_CP018074.1.region026,T2PKS,PKSother,GCF_001886595.1,NZ_CP018074.1,2420.0,2163.0,2420.0,,16.0,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,72513.0
NZ_CP018074.1.region027,melanin,Others,GCF_001886595.1,NZ_CP018074.1,2421.0,2421.0,2421.0,2421.0,7.0,unknown_family,u_Others_7,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10390.0
NZ_CP018074.1.region028,NRPS,NRPS,GCF_001886595.1,NZ_CP018074.1,2422.0,2422.0,2422.0,2175.0,8.0,unknown_family,u_NRPS_8,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,52865.0
NZ_CP018074.1.region029,terpene,Terpene,GCF_001886595.1,NZ_CP018074.1,2423.0,2423.0,2423.0,,31.0,unknown_family,u_Terpene_31,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,20124.0
NZ_CP018074.1.region030,T3PKS,PKSother,GCF_001886595.1,NZ_CP018074.1,2136.0,2136.0,2136.0,,38.0,unknown_family,u_PKSother_38,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,41158.0
NZ_CP018074.1.region031,NRPS.terpene,Others,GCF_001886595.1,NZ_CP018074.1,2079.0,2079.0,2079.0,36.0,25.0,unknown_family,u_Others_25,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,1.0,35991.0
NZ_CP027022.1.region001,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2365.0,2365.0,2365.0,,43.0,unknown_family,u_Terpene_43,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20016.0
NZ_CP027022.1.region002,melanin,Others,GCF_002943895.1,NZ_CP027022.1,2205.0,2205.0,2205.0,2205.0,7.0,unknown_family,u_Others_7,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,9652.0
NZ_CP027022.1.region003,NRPS,NRPS,GCF_002943895.1,NZ_CP027022.1,2023.0,2206.0,2206.0,2175.0,45.0,unknown_family,u_NRPS_45,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,64034.0
NZ_CP027022.1.region004,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2207.0,2207.0,2207.0,,42.0,unknown_family,u_Terpene_42,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,19810.0
NZ_CP027022.1.region005,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2263.0,2294.0,2294.0,,5.0,unknown_family,u_Terpene_5,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,25174.0
NZ_CP027022.1.region006,butyrolactone.furan,Others,GCF_002943895.1,NZ_CP027022.1,2324.0,2324.0,2324.0,36.0,37.0,unknown_family,u_Others_37,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,26062.0
NZ_CP027022.1.region007,T2PKS.oligosaccharide,Others,GCF_002943895.1,NZ_CP027022.1,2323.0,2323.0,2032.0,36.0,34.0,unknown_family,u_Others_34,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,70460.0
NZ_CP027022.1.region008,NRPS.butyrolactone,Others,GCF_002943895.1,NZ_CP027022.1,2322.0,2322.0,2033.0,36.0,4.0,unknown_family,u_Others_4,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,55147.0
NZ_CP027022.1.region009,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2034.0,2034.0,2321.0,,40.0,unknown_family,u_Terpene_40,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,23947.0
NZ_CP027022.1.region010,RiPP-like,RiPPs,GCF_002943895.1,NZ_CP027022.1,2015.0,2015.0,2015.0,552.0,9.0,unknown_family,u_RiPPs_9,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,11437.0
NZ_CP027022.1.region011,siderophore,Others,GCF_002943895.1,NZ_CP027022.1,2014.0,2014.0,2014.0,36.0,6.0,unknown_family,u_Others_6,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,13573.0
NZ_CP027022.1.region012,melanin,Others,GCF_002943895.1,NZ_CP027022.1,2332.0,2332.0,2332.0,36.0,3.0,unknown_family,u_Others_3,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10417.0
NZ_CP027022.1.region013,phenazine.NRPS,Others,GCF_002943895.1,NZ_CP027022.1,2012.0,2012.0,2012.0,36.0,33.0,unknown_family,u_Others_33,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,70985.0
NZ_CP027022.1.region014,NRPS.RRE-containing.T1PKS,Others,GCF_002943895.1,NZ_CP027022.1,2011.0,2011.0,2011.0,36.0,35.0,unknown_family,u_Others_35,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,68160.0
NZ_CP027022.1.region015,siderophore,Others,GCF_002943895.1,NZ_CP027022.1,1919.0,1919.0,1919.0,1919.0,1.0,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,11791.0
NZ_CP027022.1.region016,T1PKS,PKSI,GCF_002943895.1,NZ_CP027022.1,2041.0,2041.0,2041.0,,32.0,unknown_family,u_PKSI_32,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,96644.0
NZ_CP027022.1.region017,terpene.T2PKS,Others,GCF_002943895.1,NZ_CP027022.1,2042.0,2042.0,2042.0,36.0,36.0,unknown_family,u_Others_36,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,72513.0
NZ_CP027022.1.region018,NRPS,NRPS,GCF_002943895.1,NZ_CP027022.1,2043.0,2043.0,2043.0,2175.0,8.0,unknown_family,u_NRPS_8,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,96834.0
NZ_CP027022.1.region019,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2044.0,2044.0,2044.0,,41.0,unknown_family,u_Terpene_41,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,21065.0
NZ_CP027022.1.region020,ectoine,Others,GCF_002943895.1,NZ_CP027022.1,2045.0,2045.0,2045.0,2045.0,2.0,known_family,ectoine,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10438.0
NZ_CP027022.1.region021,NRPS,NRPS,GCF_002943895.1,NZ_CP027022.1,2046.0,2046.0,2046.0,2175.0,39.0,unknown_family,u_NRPS_39,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,62268.0
NZ_CP027022.1.region022,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2047.0,2047.0,2047.0,,44.0,unknown_family,u_Terpene_44,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20927.0
NZ_CP027023.1.region001,thioamitides,Others,GCF_002943895.1,NZ_CP027023.1,2048.0,2048.0,2048.0,36.0,59.0,unknown_family,u_Others_59,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,22323.0
NZ_KZ819169.1.region001,siderophore,Others,GCF_003116715.1,NZ_KZ819169.1,2014.0,2014.0,2014.0,36.0,6.0,unknown_family,u_Others_6,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,15077.0
NZ_KZ819169.1.region002,RiPP-like,RiPPs,GCF_003116715.1,NZ_KZ819169.1,2015.0,2015.0,2015.0,552.0,9.0,unknown_family,u_RiPPs_9,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,11437.0
NZ_KZ819169.1.region003,terpene,Terpene,GCF_003116715.1,NZ_KZ819169.1,2034.0,2034.0,2321.0,,40.0,unknown_family,u_Terpene_40,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,23935.0
NZ_KZ819169.1.region004,NRPS.butyrolactone,Others,GCF_003116715.1,NZ_KZ819169.1,2322.0,2322.0,2033.0,36.0,4.0,unknown_family,u_Others_4,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,54265.0
NZ_KZ819169.1.region005,T2PKS.oligosaccharide,Others,GCF_003116715.1,NZ_KZ819169.1,2323.0,2323.0,2032.0,36.0,34.0,unknown_family,u_Others_34,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,72489.0
NZ_KZ819169.1.region006,butyrolactone.furan,Others,GCF_003116715.1,NZ_KZ819169.1,2324.0,2324.0,2324.0,36.0,37.0,unknown_family,u_Others_37,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,27284.0
NZ_KZ819169.1.region007,terpene,Terpene,GCF_003116715.1,NZ_KZ819169.1,2263.0,2294.0,2294.0,,5.0,unknown_family,u_Terpene_5,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,25189.0
NZ_KZ819169.1.region008,nucleoside,Others,GCF_003116715.1,NZ_KZ819169.1,2326.0,2326.0,2326.0,36.0,48.0,unknown_family,u_Others_48,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20390.0
NZ_KZ819169.1.region009,terpene,Terpene,GCF_003116715.1,NZ_KZ819169.1,2207.0,2207.0,2207.0,,42.0,unknown_family,u_Terpene_42,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20339.0
NZ_KZ819169.1.region010,NRPS.NRPS-like,NRPS,GCF_003116715.1,NZ_KZ819169.1,2328.0,2206.0,2206.0,2175.0,107.0,unknown_family,u_NRPS_107,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,55205.0
NZ_KZ819169.1.region011,melanin,Others,GCF_003116715.1,NZ_KZ819169.1,2205.0,2205.0,2205.0,2205.0,7.0,unknown_family,u_Others_7,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10390.0
NZ_KZ819169.1.region012,terpene,Terpene,GCF_003116715.1,NZ_KZ819169.1,2365.0,2365.0,2365.0,,43.0,unknown_family,u_Terpene_43,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20954.0
NZ_KZ819170.1.region001,lassopeptide,RiPPs,GCF_003116715.1,NZ_KZ819170.1,2331.0,2331.0,2331.0,552.0,124.0,unknown_family,u_RiPPs_124,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,22384.0
NZ_KZ819170.1.region002,melanin,Others,GCF_003116715.1,NZ_KZ819170.1,2332.0,2332.0,2332.0,36.0,3.0,unknown_family,u_Others_3,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10417.0
NZ_KZ819171.1.region001,siderophore,Others,GCF_003116715.1,NZ_KZ819171.1,2010.0,2010.0,2010.0,2010.0,1.0,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,11791.0
NZ_KZ819172.1.region001,lanthipeptide-class-iii,RiPPs,GCF_003116715.1,NZ_KZ819172.1,2334.0,2334.0,2334.0,552.0,116.0,unknown_family,u_RiPPs_116,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,1.0,20961.0
NZ_KZ819172.1.region002,terpene,Terpene,GCF_003116715.1,NZ_KZ819172.1,2047.0,2047.0,2047.0,,44.0,unknown_family,u_Terpene_44,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20606.0
NZ_KZ819172.1.region003,NRPS,NRPS,GCF_003116715.1,NZ_KZ819172.1,2046.0,2046.0,2046.0,2175.0,39.0,unknown_family,u_NRPS_39,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,60383.0
NZ_KZ819172.1.region004,ectoine,Others,GCF_003116715.1,NZ_KZ819172.1,2045.0,2045.0,2045.0,2045.0,2.0,known_family,ectoine,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10438.0
NZ_KZ819172.1.region005,terpene,Terpene,GCF_003116715.1,NZ_KZ819172.1,2044.0,2044.0,2044.0,,41.0,unknown_family,u_Terpene_41,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,21073.0
NZ_KZ819172.1.region006,NRPS,NRPS,GCF_003116715.1,NZ_KZ819172.1,2043.0,2043.0,2043.0,2175.0,8.0,unknown_family,u_NRPS_8,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,97317.0
NZ_KZ819172.1.region007,terpene.T2PKS,Others,GCF_003116715.1,NZ_KZ819172.1,2042.0,2042.0,2042.0,36.0,36.0,unknown_family,u_Others_36,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,72513.0
NZ_KZ819172.1.region008,T1PKS,PKSI,GCF_003116715.1,NZ_KZ819172.1,2041.0,2041.0,2041.0,,32.0,unknown_family,u_PKSI_32,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,96494.0
NZ_KZ819173.1.region001,phenazine,Others,GCF_003116715.1,NZ_KZ819173.1,2012.0,2012.0,2012.0,36.0,33.0,unknown_family,u_Others_33,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20492.0
NZ_KZ819175.1.region001,NRPS.RRE-containing.T1PKS,Others,GCF_003116715.1,NZ_KZ819175.1,2011.0,2011.0,2011.0,36.0,35.0,unknown_family,u_Others_35,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,68336.0
NZ_PDCL01000001.1.region001,lanthipeptide-class-iv,RiPPs,GCF_008634015.1,NZ_PDCL01000001,2369.0,2369.0,2369.0,552.0,123.0,unknown_family,u_RiPPs_123,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,22691.0
NZ_PDCL01000001.1.region002,lanthipeptide-class-iii,RiPPs,GCF_008634015.1,NZ_PDCL01000001,2370.0,2370.0,2370.0,552.0,75.0,unknown_family,u_RiPPs_75,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,22619.0
NZ_PDCL01000001.1.region003,NRPS.T1PKS,PKS-NRP_Hybrids,GCF_008634015.1,NZ_PDCL01000001,1613.0,949.0,949.0,,49.0,known_family,pactamides,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,47887.0
NZ_PDCL01000001.1.region004,NRPS,NRPS,GCF_008634015.1,NZ_PDCL01000001,2372.0,2372.0,2372.0,2175.0,70.0,unknown_family,u_NRPS_70,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,55484.0
NZ_PDCL01000001.1.region005,terpene,Terpene,GCF_008634015.1,NZ_PDCL01000001,2373.0,2109.0,2109.0,,80.0,unknown_family,u_Terpene_80,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,22256.0
NZ_PDCL01000001.1.region006,RiPP-like,RiPPs,GCF_008634015.1,NZ_PDCL01000001,2374.0,1959.0,1959.0,552.0,74.0,unknown_family,u_RiPPs_74,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,10822.0
NZ_PDCL01000001.1.region007,ectoine,Others,GCF_008634015.1,NZ_PDCL01000001,2389.0,2389.0,2389.0,36.0,2.0,known_family,ectoine,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,10405.0
NZ_PDCL01000001.1.region008,betalactone,Others,GCF_008634015.1,NZ_PDCL01000001,2376.0,2275.0,2275.0,36.0,61.0,unknown_family,u_Others_61,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,27736.0
NZ_PDCL01000001.1.region009,butyrolactone,Others,GCF_008634015.1,NZ_PDCL01000001,2377.0,2377.0,2377.0,36.0,53.0,unknown_family,u_Others_53,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,10936.0
NZ_PDCL01000001.1.region010,NRPS-like,NRPS,GCF_008634015.1,NZ_PDCL01000001,1952.0,1952.0,1952.0,2175.0,69.0,unknown_family,u_NRPS_69,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,41908.0
NZ_PDCL01000001.1.region011,siderophore,Others,GCF_008634015.1,NZ_PDCL01000001,2010.0,2010.0,2010.0,2010.0,1.0,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,11770.0
NZ_PDCL01000001.1.region012,T3PKS,PKSother,GCF_008634015.1,NZ_PDCL01000001,2380.0,2380.0,2380.0,,100.0,unknown_family,u_PKSother_100,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,38184.0
NZ_PDCL01000001.1.region013,melanin,Others,GCF_008634015.1,NZ_PDCL01000001,1983.0,1983.0,1983.0,36.0,3.0,unknown_family,u_Others_3,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,10417.0
NZ_PDCL01000001.1.region014,T3PKS,PKSother,GCF_008634015.1,NZ_PDCL01000001,2270.0,2270.0,2270.0,,12.0,unknown_family,u_PKSother_12,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,41131.0
NZ_PDCL01000002.1.region001,melanin,Others,GCF_008634015.1,NZ_PDCL01000002,867.0,867.0,2383.0,36.0,63.0,known_family,melanin,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,10420.0
NZ_PDCL01000002.1.region002,lanthipeptide-class-iv,RiPPs,GCF_008634015.1,NZ_PDCL01000002,2384.0,2384.0,2384.0,552.0,73.0,unknown_family,u_RiPPs_73,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,22811.0
NZ_PDCL01000002.1.region003,terpene,Terpene,GCF_008634015.1,NZ_PDCL01000002,2385.0,2385.0,2385.0,,81.0,unknown_family,u_Terpene_81,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,filamentosus,s__Streptomyces filamentosus,0.0,19743.0
